CTL1.1	CTL1.2	CTL2.1	CTL2.2	CTL3.1	CTL3.2	TETA1.1	TETA1.2	TETA2.1	TETA2.2	TETA3.1	TETA3.2
1700030J22Rik	2.04713092904693	2.05222567909762	2.08798802578229	2.01693065644881	2.07679566916548	2.20043294799997	2.16157820609614	2.05805097556355	2.02126221642936	1.88946875592618	1.87519932033901	2.0686078903157
1700030K09Rik	2.66046228873891	2.73624222547153	2.70540509149477	2.77972013735319	2.8100982778517	2.67775213585285	2.81568564751089	2.75600015411741	2.81849691082869	2.79889830347309	2.67218376155451	2.90181378568289
1700037C18Rik	1.31536959917593	1.13185816288514	1.0715370551562	1.05637450886032	1.12773068797397	1.12348163935374	1.13333795989751	1.25657278076093	1.17868813760316	1.16152075109076	1.30553998570163	0.97669920511661
1700037H04Rik	3.75796494807346	3.80189486366339	3.75433309709151	3.77951036597768	3.81797506311664	3.68886687928018	3.91984193330695	3.7692919828759	3.76386883783796	3.86249587671471	3.8875248270409	3.84578591384779
1700066M21Rik	3.27485050712727	3.30271797246007	3.33288068936446	3.26727497723025	3.33254578827413	3.24583501492415	3.22478727082953	3.25967465677368	3.32627535360364	3.30964245130639	3.4067552516371	3.30307305664958
1700088E04Rik	0.986875102747537	0.874598496445894	0.707982737665663	0.764023383860459	0.849022065513238	1.01285631363116	0.771578393970069	0.895872001239451	0.69488733821504	0.747167667346202	0.774595324333663	0.744470502601661
1700094D03Rik	0.666894993654249	0.747161078761946	0.714150832253499	0.69422337949777	1.01106207329347	0.788503237461441	0.89129111160777	0.897741304763838	0.91586551011007	0.861097024322446	0.652260418060616	0.880523244781941
1700102P08Rik	1.41725820616123	1.5724929893104	1.78602294687996	1.66815866763394	1.42163807093974	1.46737495755281	1.65130515727203	1.4407054798077	1.59070304548769	1.66424219477599	1.71051245202139	1.61062300174299
1700109H08Rik	1.16966381311306	1.16291026344644	1.04521709377987	1.16844127548004	1.00749249262591	1.1612422469943	1.09978789795628	1.04690105646781	0.878051593513378	1.16601210606682	1.14837572595066	0.979403537139981
1700123O20Rik	3.72558180001465	3.80794641434296	3.80728000414105	3.90127797060599	3.81871596163816	3.76617037134673	3.6294223397289	3.62376454711561	3.64939305315988	3.84899695694511	3.77751080866201	3.5004473231187
